Ratings,Reviews
1,In Zomato it shows as 4700 for two. But In reality itÇÑs 8177 for two. It miss guides customer.
3,Buffet food felt not fresh.
2,Limited and not great vegetarian choices and the service can be better being one of the top hotels in the city.
5,awesome experience
1,I went for the dinner buffet on Wednesdays for my husband's birthday. The quality of the food was extremely bad. It was s grill night and we couldn't eat any of the starters properly. All meat items were not fresh and were extremely hard and dry. The assortment for main course was very limited and not upto the mark at all. I felt like I wasted so much money on this buffet and we couldn't eat anything at all. I am not going to visit Citrus again.
1,"I had a terrible experience at Citrus-Leela Palace Bangalore. There was a cat walking on the table and licking the plates and glasses. The place was left unattended for quite some time and no one bothered to drive away the cat. If we see such a nuisance happening at such places, I'd better dine at home from now onwards. Such an act of negligence may cause serious illness including rabies to the people who will have their food on those plates later. Not visiting again!"
5,Wow ! Nice team lunch over a amazing spread
5,We came here for dinner with family. The ambience was amazing. The food was great. Manoj was very helpful with the service.
3,The food taste needs to improve plus more options for veg buffet should be added. Very less options for vegetarians 
1,"Yesterday we had been to citrus buffet for lunch to celebrate my brotherÇÑs birthday. It was a mere waste of money. I do not recommend this restaurant to anyone. The spread was very limited with stale food which was cold and distasteful. The dishes were not being replenished in a timely manner. Most of the food was frozen and hard to chew. The service was also bad. I had requested for a small complimentary cake to celebrate his birthday, I had to remind them several times to bring it to the table. The citrus buffet does not live up to the standards of The Leela brand at all. It is a dark spot on the brand."
5,Barbecue was on . Good choice of spread in buffet menu . Awasome .
3,food was average..ironically their quattro at leela in bhartiya city was much better
1,Food was pathetic. Cold n no taste
1,had a stomach upset after 31st dec brunch..still grappling with it. this after paying 4k per head. service was also quite slow
1,Service is crap. Food is crap.
5,"Good food, especially pizza, malai boondi and hummus"
2,"We visited Leela Palace recently and we captivated by the magnificent ambiance. Unfortunately, the dining experience fell short as the herb-grilled chicken lacked moisture, making it challenging to eat. Moreover, the accompanying potatoes were initially forgotten, only brought to us upon reminder. It's disappointing to encounter such errors in a hotel of this caliber."
1,"Pathetic experience for a buffet, options were very less and each and every item was disappointing. A couple items were also puke inducing. Most of the meat felt like frozen meat and nothing fresh. No beverages are included in the buffet even though the charge is 2500+ per person. Neither is the service worth the price. You are just basically paying for the pics you get to take with the hotel architecture and ambience. Would say nearby Hilton is a far better buffet option at the similar price range."
2,"Visited this place on our anniversary.The food was not good and cold.Moreover I had a upset stomach after eating this.Starter spread is very basic.Desset is just full of cakes , hardly any gud Indian desert.Overall disappointing experience"
3,"This was my second visit to Citrus @ Leela Palace BLR and I went there with my wife on our marriage anniversary and I had mentioned that while booking a table via Zomato and had also called them but I guess they donÇÑt read your special requests or they just ignore. Food & buffet spread were just okay, no welcome drink, only desserts were great. Staffs were courteous enough but they were too busy on a Friday afternoon & we had to literally wave èª and wait for their attention. So, overall I was kinda disappointed with the service even after paying a premium. The only thing I enjoyed was the ambiance which was good for getting clicked.Not visiting again! I donÇÑt recommend!"
5,"What a variety of buffet, just loved the experience.. staffs were good and attentive.. loved the service..Buffet was great and ample amount of sittings.. everything tasted great..Must visit for special occasions.."
5,Amazing food across cuisines! The desserts were awesome too!
4,"Food was OK, Ambience was great...."
5,lovely place. should visit to experience the ambience of the place. Priyanka was very helpful with the service.
5,It was a great evening @ Leela and the food was great and they are kind in hospitability
1,"The service was good but the food,the variety of items ever things was bad.. the food items where cold! The food for a 5 star hotel is super bad quality.."
2,The service is great! but the buffet is pretty disappointing!
3,Booked via Zomato and went to celebrate wedding anniversary. Although we had placed a request for outdoor table when we arrived our request was either not known or ignored. Even though outdoor tables were available but we were told that no outdoor table was there. The food was average and did not deserve such a high price. The only good thing was the buffet spread which contained excellent salads and desserts. The staff were quite courteous but overall service was just fine. Not going here for celebrations. You may find better ambiance and food at other top rated places on Zomato. Overall a 3 out of 5.
5,Excellent experience.variety of food is amazing.
5,"The food, ambience and service were excellent. Manoj and Sweta offered an exclusive dining area for us (a party of 10). Their recommendations and attention made the experience a very memorable one. I would come back in a heartbeat!"
5,"Food ambience service good, but no room for baby care or feed."
4,Great ambiance and a large variety in the buffet. but the quality of food and service was average
1,food variety is very bad
5,"The Service, food and ambience was amazing."
1,"Service , food , atmosphere is very good, but the water glasses smelled so bad, I almost puked, very very disgusting, all the glasses smelled same, I think they never wash their glasses"
4,Before entering every stuff use to welcome usWhen going time all staff ignore an show attitude in the entrance
1,Really dissatisfied by the food
