Ratings,Reviews
5,"Amaziy staff , great evening ambience."
5,
4,
2,
4,Good food. Desserts were okayish.
5,"Best place for lunch buffet. Excellent food and service. Buffet spread has got a lot of varities. Starters, asian dishes and Desserts were the best here."
5,Indeed royal treatment by the staff. So polite so quiet. Their signature platter is must try and one of the best risotto in bangalore
5,The live band is amazing at this place with the ear soothing music and the food to die for. Every thing is top notch. The manager Mr. Syed was very polite and got our food too quickly.
5,Breakfast variety was huge.coffee was very good and excellent hospitality
5,Busy restaurant in lunch but great food and staff is very friendly...loved everything
5,"The food quality was very good and the staff are having a very good attitude with me like Rohit, Kalyani, Mahendra, Tamish, Syad."
5,"I went with my team for a lunch outing... The buffet spread is great, service is impeccable and staff is courteous... Love the place..."
5,The Food was very nice and good quality.Staff was very courteous Mr.Kamal was amazingly good and given good recommendations. Excellent experience
5,Great people great food great service
5,Thank you for the hospitality.Mr.Syed was best and provide prompt service. Ordered home style chicken and kebab platter which turned out great treat for tase buds and awesome decor. Overall the place is recommended
4,I loved the hospitality here. They strive to make you feel special. Food taste is good too.
5,"Spend a good time to aloft...All are very helpful, visiting like last year..I love the service, food, people.After long time we enjoy with my friends.."
3,Starters are very good .Thali gives variety options but serves cold.Too much manipulation for zomato gold. Didn't consider for starter. Tries to put some or the other condition.
4,Superb ambiance nice place in bellandur.....Loooove the food great service by the staff..Thanks nook management..........................
3,
2,The food was average overall..the prawns were pretty bad although highly expensive. They brought in food after 6-7 follow ups. Service is the worst. Our breads came in 30 minutes post the main courses which were already cold.
1,Poor Quality Food with slow service. Desserts and starters were especially bad. Asked for lime soda without ice but they got it very cold.
5,Nook has become one of my favourite places to eat in the recent past. Not just because it's a part of #alofthotels. But because of the different food festivals they keep having in this place. The last time I visited they had this amazing Chettinad food festival. Where there were so many dishes and the taste was simply awesome.This time i went there it was the Uttarakhand food festival. The chefs were from that place and they had some super duper food. The chutneys from that region were so many and rich. The food tasted lovely and overall enjoyed the concepts these guys give.The prices is just 1155 plus tax. Which is very affordable. Keeping in mind that this is located in a hotel.For more visit us on platewithflavours in INSTAGRAM
4,The place does not have a concentrated sitting area but itÇÑs spread whole across the lobby on ground floor of aloft Hotel On Wednesday and Friday you get live band playing and Tuesday nights and ladies night with free alcohol for the ladies Offers a decent variety of beers whiskeys and cocktails.Come here with friends and you would enjoy for sure.
4,"I was staying in aloft for a weekend hence got to try their breakfast buffet.I liked the overall quality and taste of the food here. Chhole Puri and aloo ki sabzi were great. They had proper North Indian taste. Apart from that, i also liked their carrot cake and banana cake as they were fresh and soft to the core. I also tried kesar rasmalai and baked yoghurt in desserts as the night snack. Though Kesar rasmalai was average but baked yoghurt was tasty. Added fruits were parting their flavour to the yoghurt.Ambience was nice. Place was spacious with good ceiling decorations with good jazz music in background.Service was awesome. Chef Akash was very interactive and was constantly making sure my orders are served well in time. As a good gesture, he offered a pastry to me during one of the breakfast. He was nice to talk to and was suggesting dishes to eat when he came to know I am north indian which will best suit my taste.Ambience: 3.5Food: 4Service: 5"
5,The place is very nice to chill with your friends and family. Food is awesome. You will find all range of food starting from Indian to Chinese and Mexican.You can make your own salad here too. Chicken wings was awesome followed with baked fish.I liked the ambiance too. Staffs over here are very polite and friendly too. I was so busy on my food didn't got to take pics. Every time when I visit this place they never let me down.Hope to see you soon
2,Visisted it last month for office lunch which turned out to be a disappointed experience.Buffet Spread is not so great and overall food is also not tasty.Overall not worth the price paid as there are other options in close proximity which are better for buffet.
4,"Fantastic breakfasts with a super friendly staff, and a hyper-friendly Chef Jishnu awaits you when you eat here. Food spread is nice, although i would seek some improvements in the oriental dishes. Overall, great experiences."
1,"A completely worst place for buffet. Located in such a star hotel and expectation of buffet from such place is obviously high. Coming to spread, it's a huge spread yet i think it's just for presentation. I didn't find any edible starters over there. All were displayed under a heating lamp. Food was extremely cold. Do you think of putting pizzas on buffet counter!! . Salad counter was just okay. Maincourse was mediocre. Not even a single item tasted good. Food was cold. Completely its a cold buffet place. Dessert was okay.Service needs attention."
4,"Visited this place two times for office get together. Located on the outer ring road in the Cessna Business Park is apt for any office get together. It offers beautiful ambience, prompt service, array of options in its dinner buffet with lovely service that makes it ideal for a lovely time. Absolutely recommend this place."
2,"Stayed in the hotel for a week, okay experience not so overwhelming.Used to have breakfast every morning good options but had to explain everything how you want it otherwise it will be served uncooked to you.Found 'hair' in stuffed aaloo paratha once told it to floor incharge got is replaced but considering it is a 5 star hotel it shouldn't have happened.Hotel staff is friendly and make you feel at home.Good luck if you're planning to stay!"
2,The place has a decent ambience which you can expect from a restaurant in a 5 star hotel. The food however is average at best and extremely expensive on top of that.
4,"Perfect place for a leisurely breakfast which leaves you feeling good. Loved the cheese platter, fresh fruits and eggs.Service and ambience are the Cherry on the cake"
5,Overall a very good experience. Many options in dinner buffet.Masala cheese omlette - very goodDal makhani - very good.Vada - very goodHash brown potato - very goodSevai - goodaaloo kulcha - goodtandoori naan - goodtomato shorba - goodMomo's - goodpaneer aapki pasand - 4/5Masala dosa - 4/5Aloo paratha - 4/5
5,"This place rocks!!! That's how I would like to start my review. I have tried their breakfast buffet and also the Chettinad Samayal during a festival. You can never go wrong with this place.Ç Their breakfast spread is humongous and you are spoilt for choice. They have a varitey of Indian (North and South), Continental, Pan Asian delicacies for breakfast not to forget the healthy options that are served in a separate counter. They even offer soy milk, almond milk other than your regular juices, shakes, smoothies etc. They offer a lot of fresh and seasonal fruits. I haven't seen a better range of cheese being offered anywhere. The service is top-notch and they are willing to customize items to suit your palate.I am a vegetarian and went there during the Chettinad festival as well. The chef and his team ensured that I got to taste the true Chettinad delicacies like Raw Banana, vada , Curries made of okra, conconut rice etc. Truly impressed.They would get a perfect 5 on all counts. Must visit !!!"
5,A best place for buffet breakfast in weekend morning. I went there while I was on my Bangalore trip. A good restaurant indeed. Lots of varieties of different kind of foods. Starting from live food counter to delicious ready food.Pocket pinch : HighAmbience : Very goodFood Quality : ExcellentService : ExcellentOverall rating : Very Good.Must visit place for food lovers.
4,"Been there few times. Love their assortment of salads. Sometimes they have chaat corner. The tawa options are yum too. Main course options are too many for greedy eater to choose from. And then the desert spread is just wow.The attentiveness is low. Cleanliness is tad bit affected due to this. Also to pay, almost every time, had to wait 20 mins."
5,"Was here for the Chettinad Samayal - my first experience of the cuisine. There were some brilliant appetizers like Then Kuzhel, Kuzhi Paniyaram, Vella Appam with Daanger, Keerai Vada, Meen Varuval. I loved the Appam. Reminded me of Kanji Vadas!There was Drumstick Soup - called as Murungakai soup.The highlight of the mela were Paruppu Kadaisal (Dal)with some jeera rice, Vendakai Pachadi (Ladyfinger), Tamarind Rasam among the lots of options that I savored.The Badam Halwa is a must try! çThis is only available until the 24th of this month for lunch or dinner. Nice job by Chef Murthy and team †"
4,Pretty cool place I must say and ambience makes it more worthy when you visit just to relax the work pressure you already had. Food is really nice with awesome varieties and the best thing about this place is they try something innovation. Best advantage is if you are working in Cessna or near ORR its a great place for outdoor Lunch.
5,"A breezy day in Bangalore by the pool at Nook would be my idea of the perfect brunch. It's undoubtedly my favourite. Every time I have been here, I get overwhelmed with the sheer variety of food. Tens of types of desserts, starters, pancakes, breads, sea food - you name it. The friendliest staff in Bangalore, and that of course elevates the whole experience.Favourites:Ç Live pancake/waffle - you can choose the flavour and the toppings and it's made right there.Live seafood - pick any fish/prawn, it's cooked right thereDesserts - I love light desserts, not too sweet but still flavourful. TheyÇ never disappoint.Vibes: Relaxed, airy, cosmopolitan."
5,"Courteous and nice kind staff, lavish food spread with good taste and balance of nutrition, yummy masala teaÇÄùÇÄù must try. . And I hate this 140char limit"
5,Loved Chicken Chettinad - Chef Murthy is the best. Thank you very much Chef. A must try dish with authentic flavour and ground roast spices.
5,Had lunch at Nook recently. I ordered from the menu Grilled Salmon and it was perfectly done. The flavour was great. It was came with the right sides to complement the Salmon. I am a big fan of Salmon and I have tried it in many restaurants and this one definitely stood out.
5,I follow a simple rule before visiting any place for food. I read the reviews and decide the best things to try at that place. I did the same before going to Aloft. But believe me the reviews here in zomato didn't do justice to the food quality. Every single food item was perfect to its test. I wont be mentioning all details but you can guess from the pictures I have shared how much I have gulped down.Note: Deserts were very few for vegetarians.
3,Had a dinner here with work colleagues. Dinner went fine and the food was good. I thought I would pick up some dessert to take home. Looked at the menu and the tiramisu sounded good.At home I discovered I paid 513 for a bowl of whipped cream dusted with cocoa powder. Nothing else.
3,"Restaurant is good. I didn't find any wow factor in it.We opted for buffet. Soup wasn't good. They had tomato soup and rasam in the soup section. Food was good. Starters had items with cheese, steamed veggies, deep fried mushrooms, veggies etc. Too many options for people who love salads with vaiety of vegetables and fruits. They have sugar free sweets, vegan desserts. They also had variety in dessert section apart from sugar free and vegan desserts.I heard from 1 of my family member that, non-veg is not at all good.Hosts were not that great. I think you have to work towards that. They just came to get the bill paid."
1,"Aloft has been designed uniquely with vibrant colour shades all over and a snooker table, high stools giving it a very youthful look and nook is neatly tucked into the lobby, we went for lunch buffet and the spread of buffet was not vast, taste of the food and desserts was average, everything in the buffet was cold and the live counter doesnÇÑt serve pizza or pasta, service was bad and overall not a great experience!Buffet Included:\tÇ\t1 Veg & 1 Non-Veg SoupÇ®\tÇ\t2 Veg & 2 Non-Veg startersÇ®\tÇ\t10 Main Course Ç®\tÇ\t10 Salad ,1 Veg & 1 Non Veg Ç®\tÇ\tBreadsÇ®\tÇ\t2 Rice Ç®\tÇ\t12 Cold DessertsÇ®Cost:1296 AI/PP"
