Ratings,Reviews
2,food should not be send via EV. It was completely cold.
3,It is mentioned that it serves 2 but the quantity is only for the one so please change the details of the food
5,Firdaus was just awesome at serving us
5,"Absolutely loved it.The ambience is truly amazing. Especially the ground floor one.We tried both veg and non veg. We loved both. Delivery was on time.The staff were polite and friendly, Especially Miss Ritika (Thankyou for beautiful evening Ñ°) I loved the craft beer they have. Tasted really good. Must try if someone wishes too.Good for family as well."
1,The food is highly priced and doesnÇÑt taste at allÇ The sheek kabab was like some soaked wood .. very poor qualityÇ
5,Firdaus provided a great service. Had a lovely evening with great ambience and food.
5,I like the vibe and Ambience it's amazing and thanks to Abdul for a great service and food is delicious too I recommend people to visit this place it's great time to chill with your friends ∏°
5,"Great service! Milan was the waiter, very friendly"
5,"Came here after a long time, loved the experience! Firdos served us well!"
5,One of the best combos I have ever had. Really well made.
5,good service by pravash must try nachos it's so yummy
5,"I'm visit for 1st time in byg I'm really enjoyed the beautiful weather with fresh beer. very nice food drinks and ambiance. thanks koko for taking care of us. koko as very, Frank very friendly . definitely visit again with my family∏ ùùù"
5,"We have been here many times, everytime feels great time, the servers are very friendly Bunty is always helpful, love their ambiance as well as food, gonna visit soon again, hats off to all byg brewsky team"
4,Service was good and food was nice
5,by.mr. Ranjit very good service and very good food and drinks thanks.....
5,Bunty
4,Bunty service was good..
5,Aniket gave excellent service
5,very tasty food and drinks.thanks Bunty
5,
1,Food is very average. Service is poor.
1,Wrong order delivery. send a complimentary order as we were made to wait for 50 mins
4,
5,Abdul served us really well
5,Ranjit served the food quickly without any follow up & his entire Services was excellent
1,Very bad taste
5,@Vishnu has given nice service
5,Aniket helped us with the service and had awesome experience with friends
5,Milan was at good service. Love the place.
5,Milan was very good in service
5,Got a wonderful experience. Mr. Renjith provided us with good service. Satisfied!
5,good service and friendly behaviour
5,"We went for an early lunch. Aniketh was our server- super helpful and prompt. Absolutely loved the veg nachos, popcorn prawns, the mango tango and coolie. The fish tikka, soya pepper fry and mushroom pizza was avg. would def recommend for a relaxed family afternoon lunch/ brunch."
5,"I really liked the service, specially served by pintu"
1,the garlic bread was dry and without any flavor! it was hard as well which was totally against the expectations
5,Aniket gave superb service
5,Pintu was super helpful in navigating us through the beer menu. Highly recommended
5,Piyush sir is a remarkable staff memeber of this outlet
1,Dead flies on the food
5,Thanks to Vishnu for such an amazing service.
5,Roni arranged a bday cake for my friend and thanks a lot to his incredible service.
5,"This place is always special to me.. Celebrated my birthday with my fiance here.. had ordered caesar salad, mocktails & dessert. i was offered a complimentary mocktail too as it waz my birthday.. loved that sweet gesture ∏ç∏ç"
1,worst delivery
5,Piyush was super helpful.
5,I had a great time. Vishnu was really helpful.
1,Stale food
5,"Nice ambi, good service from Abdul"
5,"pravash served us well, food and ambience are good"
5,great ambience excellent service from Abdul
5,Vishnus servive was good
5,piyush was a very good host. Good food and service.
5,good service and food by aniket
5,Amrita and Aniket were very hospitable and we had great customer satisfaction
5,"Piyush,Good service"
3,small small bones in paste.
5,Biju was extremely helpful in helping curating a few veg dishes for my parents. Very well service.
5,"nice place, bunty was very helpful and nice."
1,I ordered veg biryani but I got chicken biryani instead.we are very orthodox about these things and I am very serious about this concern.
1,Worst experience till date in Bangalore. None of the food items ordered were good plus the beer was just average.Iron hill is far better than this and on top I would say even Macaw was better than this place.
2,"Made a reservation and arrived 5 min before but of no use. Was made to wait 30 minutes and then given a table next to the washroom. Told them I'll wait and was given another table after 15 min which was even worse. Because I was hungry, I took that table and was told by Ankita that I'll be given another table soon but she disappeared. Went to the reception and requested Ankita again for table change, was again told 5 min but no one bothered. Even the food/drinks service was delayed a lot, had to follow up so many times. So don't visit this place on weekends as they just don't care with the huge rush they have."
5,Vishnu goods and awesome
5,Good service by Bunty and good food
5,BuntyÇÑs service was good
5,Aakash 5 stars
5,Pintu was an amazing host. The service was great and the food was delicious
5,"Karina thanks! , nice vibes here"
1,Very bad in taste
4,chilli chicken was good. Noodles can be more delicious.
5,Great service by Akash! Excellent food
2,"maja nahi aaya, taste can be improved."
1,
1,sabzi was badparathas were good
5,Anikhet thank you great service
5,bunny in
5,Bunty provided good serviceFood and ambience is good
5,we like the service. abdul was very warm and his service was good.
5,Bunty great service food & ambiance
5,Bunty was really good!!
1,"Chilli Chicken and noodles smelled bad, it was cold."
5,good food and service by firdaus
1,burnt food
3,Raita provided was spoiled
5,Nice service by maniket Singh
5,"Aniket thanks for your best services , appreciate much , deserves best promotion"
5,Good service and food. Firdos was good here
5,The food was okay but kareena was very polite and helpful
1,worst taste
5,Pravesh gave big discount
4,The pond in the middle was stinking
5,nice ambience. Milan has been wonderful server.
5,"BuntyÇÑs service was excellent, had a good time"
5,Bunty recommended some delicious dishes and we loved the ambience! ùØ∏è
5,It was nice service from Abdul
5,Bunty was awesome.
5,Firdaus served us great thank you
5,bunny service was really good
2,
1,poor service
5,Amazing place. AbdulÇÑs service was very nice!
5,Bunti the food was good especially chicken Tikka and service was good and polite
4,Quantity of daal was a bit less
2,"Today i am very disappointed from byg brewski, the portion of food was almost half from another days."
3,Old daal
5,Bunty was exceptional in providing the hospitality
5,Akaash really was helpful in serving us. Nice ambience with natural beauty all around. Good food and drinks options
5,good service by pravash thank you
5,Had a great experience at big brewski and Milan was amazing at his service
5,akash
5,bunty was a great host. thanks for the service
2,"DoesnÇÑt taste like biryani, very spicy and feels like rice and veggies are cooked separately and then layered together"
5,Piyush served us well
5,Thanks Pintu For the service
5,All over good experience
5,"Good food, Pintu was great guy!"
5,Happy to get served by PiyushExperience has been fantastic.
3,"some of the food items were not cooked properly, very minimal choice in menu"
5,Food and ambiance is fantastic service given by Pintu .. was awesome
5,Good food and good service especially from Piyush
5,Koko was very nice and services provided were excellent .
5,Great service by Abdul
5,Thr food and ambience was great. Kareena from byg breswki was very friendly
